Pressure1,Pressure2,Pressure3,Pressure4,AirPressure1,AirPressure2,AirPressure3,AirPressure4,AirPressure5,AirPressure6,HeadLocation,SleepPosition
28.0,88.0,506.0,477.0,0.89,0.8,0.85,0.87,0.85,1.02,rightdown,aomuke
24.0,88.0,11.0,149.0,0.89,0.8,0.86,0.87,0.85,1.01,rightdown,left_yokomuki
35.0,61.0,13.0,116.0,0.89,0.8,0.85,0.87,0.88,0.99,rightdown,right_yokomuki
35.0,61.0,13.0,118.0,0.89,0.8,0.85,0.88,0.88,0.99,rightdown,right_yokomuki

55.0,2.0,127.0,39.0,0.89,0.8,0.85,1.08,0.85,0.85,leftdown,aomuke
30.0,6.0,121.0,48.0,0.89,0.8,0.85,1.06,0.85,0.86,leftdown,aomuke
8.0,2.0,121.0,24.0,0.89,0.8,0.85,1.02,0.85,0.85,leftdown,left_yokomuki
11.0,2.0,121.0,24.0,0.89,0.8,0.85,1.02,0.85,0.85,leftdown,left_yokomuki
33.0,2.0,52.0,81.0,0.89,0.8,0.85,1.02,0.87,0.87,leftdown,right_yokomuki
33.0,2.0,55.0,77.0,0.89,0.8,0.85,1.03,0.87,0.87,leftdown,right_yokomuki

0.0,11.0,6.0,107.0,0.89,0.8,0.85,0.87,0.98,0.85,centerdown,aomuke
6.0,88.0,8.0,154.0,0.89,0.8,0.85,0.87,1.16,0.85,centerdown,aomuke
15.0,96.0,4.0,81.0,0.89,0.8,0.86,0.87,1.01,0.86,centerdown,left_yokomuki
13.0,94.0,8.0,83.0,0.89,0.8,0.86,0.87,1.02,0.86,centerdown,left_yokomuki
6.0,72.0,4.0,94.0,0.89,0.8,0.85,0.87,1.08,0.89,centerdown,right_yokomuki
6.0,70.0,4.0,94.0,0.89,0.8,0.85,0.87,1.08,0.89,centerdown,right_yokomuki

33.0,46.0,15.0,105.0,0.89,0.81,0.86,0.87,0.87,1.02,rightdown,aomuke
33.0,46.0,15.0,103.0,0.89,0.8,0.85,0.87,0.86,1.02,rightdown,aomuke
30.0,4.0,26.0,101.0,0.89,0.8,0.86,0.88,0.86,0.96,rightdown,left_yokomuki
30.0,8.0,28.0,103.0,0.89,0.8,0.85,0.89,0.88,0.96,rightdown,left_yokomuki
19.0,35.0,6.0,140.0,0.89,0.8,0.85,0.87,0.84,1.04,rightdown,right_yokomuki
19.0,35.0,6.0,140.0,0.89,0.81,0.84,0.87,0.84,1.04,rightdown,right_yokomuki

61.0,101.0,110.0,22.0,0.89,0.8,0.86,1.04,0.85,0.85,leftdown,aomuke
57.0,103.0,110.0,22.0,0.89,0.81,0.85,1.04,0.85,0.85,leftdown,aomuke
44.0,105.0,94.0,15.0,0.89,0.8,0.86,1.0,0.85,0.85,leftdown,left_yokomuki
44.0,103.0,94.0,15.0,0.89,0.8,0.86,1.0,0.85,0.85,leftdown,left_yokomuki
79.0,114.0,107.0,11.0,0.89,0.8,0.85,1.03,0.85,0.85,leftdown,right_yokomuki
81.0,114.0,107.0,11.0,0.89,0.8,0.85,1.04,0.85,0.85,leftdown,right_yokomuki

4.0,92.0,11.0,125.0,0.89,0.8,0.86,0.88,1.03,0.86,centerdown,aomuke
4.0,101.0,17.0,107.0,0.89,0.8,0.85,0.89,1.04,0.85,centerdown,aomuke
4.0,94.0,28.0,72.0,0.89,0.81,0.86,0.89,1.04,0.85,centerdown,left_yokomuki
2.0,92.0,24.0,77.0,0.89,0.81,0.86,0.88,1.04,0.85,centerdown,left_yokomuki
30.0,92.0,11.0,85.0,0.89,0.8,0.86,0.89,1.01,0.87,centerdown,right_yokomuki
24.0,92.0,8.0,83.0,0.89,0.8,0.86,0.89,1.02,0.88,centerdown,right_yokomuki

26.0,35.0,19.0,145.0,0.89,0.81,0.87,0.87,0.86,0.98,rightdown,aomuke
33.0,0.0,19.0,99.0,0.89,0.81,0.87,0.87,0.9,0.96,rightdown,aomuke
8.0,13.0,11.0,200.0,0.89,0.8,0.86,0.87,0.84,0.96,left_yokomuki
6.0,46.0,8.0,182.0,0.89,0.8,0.87,0.87,0.84,0.99,left_yokomuki
22.0,8.0,22.0,182.0,0.89,0.8,0.84,0.88,0.84,0.88,leftdown,right_yokomuki
24.0,63.0,19.0,110.0,0.89,0.8,0.89,0.88,0.87,1.01,leftdown,right_yokomuki

79.0,48.0,189.0,24.0,0.89,0.81,0.85,1.07,0.84,0.85,leftdown,aomuke
55.0,39.0,156.0,28.0,0.89,0.8,0.86,1.05,0.85,0.85,leftdown,aomuke
24.0,24.0,200.0,66.0,0.89,0.8,0.86,0.97,0.85,0.85,leftdown,left_yokomuki
24.0,24.0,198.0,66.0,0.89,0.8,0.85,0.98,0.85,0.85,leftdown,left_yokomuki
28.0,39.0,213.0,46.0,0.89,0.81,0.85,1.0,0.84,0.85,leftdown,right_yokomuki
26.0,39.0,213.0,46.0,0.89,0.8,0.85,1.01,0.85,0.85,leftdown,right_yokomuki

13.0,24.0,41.0,11.0,0.89,0.81,0.85,0.87,1.06,0.86,centerdown,aomuke
11.0,22.0,39.0,19.0,0.89,0.8,0.85,0.87,1.07,0.86,centerdown,aomuke
22.0,2.0,24.0,125.0,0.89,0.81,0.86,0.87,0.95,0.86,centerdown,left_yokomuki
39.0,0.0,46.0,79.0,0.89,0.8,0.86,0.87,1.01,0.86,centerdown,left_yokomuki
26.0,6.0,26.0,50.0,0.89,0.8,0.85,0.87,1.0,0.88,centerdown,right_yokomuki
28.0,2.0,39.0,59.0,0.89,0.8,0.86,0.87,1.02,0.86,centerdown,right_yokomuki

17.0,92.0,2.0,167.0,0.89,0.8,0.85,0.86,0.84,0.99,rightdown,aomuke
15.0,94.0,2.0,169.0,0.89,0.8,0.85,0.87,0.84,1.0,rightdown,aomuke
13.0,178.0,0.0,213.0,0.89,0.8,0.87,0.87,0.84,0.94,rightdown,right_yokomuki
19.0,101.0,0.0,195.0,0.89,0.8,0.86,0.87,0.84,0.98,rightdown,right_yokomuki
22.0,101.0,2.0,189.0,0.89,0.8,0.86,0.87,0.84,0.99,rightdown,right_yokomuki

24.0,44.0,193.0,72.0,0.89,0.81,0.86,0.95,0.85,0.85,leftdown,aomuke
28.0,178.0,1018.0,74.0,0.89,0.8,0.85,0.96,0.84,0.85,leftdown,aomuke
19.0,46.0,206.0,72.0,0.89,0.8,0.85,0.99,0.84,0.85,leftdown,left_yokomuki
17.0,48.0,213.0,70.0,0.89,0.8,0.85,0.99,0.84,0.85,leftdown,left_yokomuki
11.0,48.0,213.0,72.0,0.89,0.8,0.85,0.98,0.84,0.85,leftdown,right_yokomuki
